,area_m2,price_usd,lat,lon,place
443,210,343256.56,-12.9429024,-38.3982041,Salvador
444,133,176777.13,-12.9994819,-38.4560755,Salvador
445,130,112338.51,-12.9808155,-38.5086421,Salvador
446,134,316732.19,-12.992472,-38.52298,Salvador
447,120,186294.7,-12.9890124,-38.4392045,Salvador
448,93,145103.91,-12.9994819,-38.4560755,Salvador
449,70,123260.31,-13.0002554,-38.5188762,Salvador
451,112,237159.08,-12.950598,-38.40873,Salvador
452,168,343256.56,-12.9930033,-38.5247961,Salvador
453,100,217811.89,-15.61667,-39.7,Salvador
454,105,113898.77,-12.9903761,-38.4468721,Salvador
456,107,132621.85,-12.9994819,-38.4560755,Salvador
458,72,124820.57,-12.9994819,-38.4560755,Salvador
459,143,227797.54,-12.9429024,-38.3982041,Salvador
460,90,124820.57,-12.9994819,-38.4560755,Salvador
462,98,171628.28,-12.9928931,-38.4665922,Salvador
463,78,98296.19,-12.9994819,-38.4560755,Salvador
464,164,296448.85,-13.000164,-38.489021,Salvador
465,164,296448.85,-13.000164,-38.489021,Salvador
466,112,110778.25,-12.992462,-38.444553,Salvador
467,70,87374.39,-14.845166,-39.025691,Ilhéus
470,70,118579.54,-13.007857,-38.498463,Salvador
471,98,106097.48,-13.003813,-38.528656,Salvador
472,154,436871.99,-12.998506,-38.52309,Salvador
474,78,74892.34,-14.828758,-40.797218,Vitória da Conquista
475,87,156025.71,-14.796621,-39.037969,Ilhéus
477,104,88378.25,-12.863804,-38.2770374,Camaçari
478,190,123260.31,-13.008737,-38.487831,Salvador
479,250,378763.96,-12.9891996,-38.5236444,Salvador
480,140,233571.11,-12.9858801,-38.460407,Salvador
481,215,394545.79,-12.9891996,-38.5236444,Salvador
482,143,206741.99,-12.9604584,-38.4053527,Salvador
485,175,505018.62,-12.9902375,-38.5245971,Salvador
486,130,205163.81,-13.0091525,-38.5163816,Salvador
488,91,190541.0,-12.9798238,-38.4573653,Salvador
489,128,454516.76,-13.0095404,-38.5133791,Salvador
490,85,142036.48,-13.0050327,-38.5199433,Salvador
491,99,230414.74,-12.9930748,-38.5233928,Salvador
492,195,331418.47,-12.9604584,-38.4053527,Salvador
493,55,78909.15,-12.9053309,-38.4294106,Salvador
494,62,88378.25,-12.9722361,-38.4242989,Salvador
496,70,107657.74,-12.9808591,-38.4468721,Salvador
497,110,171628.28,-12.9994819,-38.4560755,Salvador
498,190,131061.59,-13.0087625,-38.4915625,Salvador
499,54,98296.19,-12.992939,-38.473164,Salvador
500,160,277725.76,-12.958966,-38.405651,Salvador
501,80,117019.28,-12.974941,-38.440117,Salvador
502,122,96735.94,-12.987904,-38.502075,Salvador
503,80,117019.28,-12.974941,-38.440117,Salvador
504,160,277725.76,-12.958966,-38.405651,Salvador
505,54,98296.19,-12.992939,-38.473164,Salvador
506,73,234038.56,-13.004092,-38.5047,Salvador
508,75,109217.99,-12.9808591,-38.4468721,Salvador
509,90,130142.2,-12.971983,-38.435127,Salvador
510,155,426109.46,-12.995359,-38.4727763,Salvador
511,90,130142.2,-12.971983,-38.435127,Salvador
512,138,280846.28,-14.860086,-40.827396,Vitória da Conquista
514,89,131061.59,-12.990577,-38.510612,Salvador
516,56,78012.85,-12.971625,-38.486305,Salvador
517,56,78012.85,-12.971625,-38.486305,Salvador
519,82,156025.71,-12.987011,-38.439724,Salvador
520,115,156025.71,-13.004092,-38.5047,Salvador
521,230,249641.14,-13.002217,-38.516796,Salvador
522,230,249641.14,-13.002217,-38.516796,Salvador
523,75,84253.88,-12.987656,-38.482941,Salvador
524,75,84253.88,-12.987656,-38.482941,Salvador
525,54,75828.49,-13.009679,-38.486305,Salvador
526,80,124820.57,-13.007857,-38.498463,Salvador
528,135,202833.42,-12.9994819,-38.4560755,Salvador
529,53,99856.45,-12.993533,-38.526047,Salvador
530,72,102976.97,-12.993305,-38.45739,Salvador
531,53,99856.45,-12.993533,-38.526047,Salvador
532,72,102976.97,-12.993305,-38.45739,Salvador
534,150,227797.54,-14.865803,-40.822427,Vitória da Conquista
535,95,143543.65,-12.994513,-38.479004,Salvador
536,85,104537.22,-12.852844,-38.32711,Lauro de Freitas
537,132,215315.48,-12.941992,-38.403465,Salvador
539,211,374461.71,-13.004878,-38.532276,Salvador
540,132,215315.48,-12.941992,-38.403465,Salvador
541,95,143543.65,-12.994513,-38.479004,Salvador
542,85,104537.22,-12.852844,-38.32711,Lauro de Freitas
543,184,436871.99,-13.009664,-38.486431,Salvador
544,172,305810.39,-12.950598,-38.40873,Salvador
545,184,436871.99,-13.009664,-38.486431,Salvador
546,90,171628.28,-13.00525,-38.516327,Salvador
547,90,171628.28,-13.00525,-38.516327,Salvador
548,106,162266.74,-13.004092,-38.5047,Salvador
549,106,162266.74,-13.004092,-38.5047,Salvador
550,130,168507.77,-12.985207,-38.456074,Salvador
551,235,299854.8,-12.9979705,-38.5200581,Salvador
552,115,127941.08,-12.992462,-38.444553,Salvador
553,115,127941.08,-12.992462,-38.444553,Salvador
555,230,265243.71,-12.998506,-38.52309,Salvador
557,107,137302.62,-14.74019,-39.064465,Ilhéus
558,98,131061.59,-12.994164,-38.518372,Salvador
559,132,109217.99,-12.998506,-38.52309,Salvador
560,110,152905.19,-15.61667,-39.7,Salvador
562,134,234038.56,-12.993305,-38.45739,Salvador
563,95,246520.62,-13.000443,-38.45739,Salvador
564,168,154465.45,-12.985579,-38.470348,Salvador
566,115,118579.54,-12.998506,-38.52309,Salvador
567,70,98400.2,-12.98223,-38.43898,Salvador
568,178,140423.14,-12.993305,-38.45739,Salvador
569,117,176933.15,-12.991933,-38.465279,Salvador
570,60,90494.91,-13.001169,-38.49419,Salvador
571,58,113898.77,-12.985207,-38.456074,Salvador
573,134,280846.28,-12.992472,-38.52298,Salvador
575,95,246520.62,-13.000443,-38.45739,Salvador
576,168,154465.45,-12.985579,-38.470348,Salvador
578,115,118579.54,-12.998506,-38.52309,Salvador
579,70,98400.2,-12.98223,-38.43898,Salvador
580,178,140423.14,-12.993305,-38.45739,Salvador
581,77,109217.99,-12.992462,-38.444553,Salvador
