area_m2,price_usd,lat,lon,place
125,248080.88,-12.993305,-38.45739,Salvador
110,134182.11,-12.985207,-38.456074,Salvador
80,112338.51,-12.971983,-38.435127,Salvador
125,248080.88,-12.993305,-38.45739,Salvador
110,134182.11,-12.985207,-38.456074,Salvador
80,112338.51,-12.971983,-38.435127,Salvador
59,85814.14,-12.973127,-38.434219,Salvador
97,102976.97,-12.971983,-38.435127,Salvador
97,102976.97,-12.971983,-38.435127,Salvador
155,399425.82,-13.000164,-38.489021,Salvador
155,399425.82,-13.000164,-38.489021,Salvador
78,171628.28,-13.0051811,-38.5257172,Salvador
151,312051.42,-12.991933,-38.465279,Salvador
89,209074.45,-13.000443,-38.45739,Salvador
151,312051.42,-12.991933,-38.465279,Salvador
89,202833.42,-13.000443,-38.45739,Salvador
89,209074.45,-13.000443,-38.45739,Salvador
162,390064.28,-13.002217,-38.516796,Salvador
112,109217.99,-12.992462,-38.444553,Salvador
230,274605.25,-12.998506,-38.52309,Salvador
180,358859.13,-12.998506,-38.52309,Salvador
230,274605.25,-12.998506,-38.52309,Salvador
180,358859.13,-12.998506,-38.52309,Salvador
54,88934.65,-13.004092,-38.5047,Salvador
90,221556.51,-13.007857,-38.498463,Salvador
92,174748.79,-13.000443,-38.45739,Salvador
243,421269.42,-12.941992,-38.403465,Salvador
107,209074.45,-12.985207,-38.456074,Salvador
90,221556.51,-13.007857,-38.498463,Salvador
92,174748.79,-13.000443,-38.45739,Salvador
243,421269.42,-12.941992,-38.403465,Salvador
137,212194.96,-12.9994819,-38.4560755,Salvador
180,196592.39,-14.861427,-40.816076,Vitória da Conquista
211,374461.71,-13.004878,-38.532276,Salvador
142,262123.19,-12.950598,-38.40873,Salvador
142,327653.99,-12.950598,-38.40873,Salvador
106,140423.14,-13.004878,-38.532276,Salvador
118,152905.19,-12.991933,-38.465279,Salvador
89,174748.79,-13.000443,-38.45739,Salvador
82,112338.51,-12.978013,-38.443554,Salvador
85,115459.02,-12.962178,-38.431129,Salvador
118,152905.19,-12.991933,-38.465279,Salvador
89,174748.79,-13.000443,-38.45739,Salvador
82,112338.51,-12.978013,-38.443554,Salvador
85,115459.02,-12.962178,-38.431129,Salvador
70,205163.81,-12.9777531021,-38.4574270248,Salvador
60,142036.48,-12.9591644,-38.4037775,Salvador
61,113629.19,-12.9331769,-38.4559668,Salvador
243,284072.97,-12.9930748,-38.5233928,Salvador
211,362982.13,-12.9612586,-38.4089007,Salvador
87,119941.92,-12.9985822,-38.4521996,Salvador
55,104849.27,-12.958966,-38.405651,Salvador
110,124820.57,-13.000443,-38.45739,Salvador
77,81133.37,-12.70733,-38.323158,Camaçari
98,156025.71,-12.994513,-38.479004,Salvador
98,156025.71,-12.994513,-38.479004,Salvador
129,436871.99,-13.000164,-38.489021,Salvador
104,124820.57,-12.9956751,-38.4838685,Salvador
78,201273.16,-12.98223,-38.43898,Salvador
129,436871.99,-13.000164,-38.489021,Salvador
